epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,964.226,0.87757,5.27154,1.21012,0.01158,0.07909,0.00322,0.00269,0.72785,4.84407,0.98276,1.93188e-05,1.93188e-05,1.93188e-05
2,1844.15,0.78801,4.86667,1.1458,0.00741,0.27743,0.01122,0.00843,0.7217,4.54852,1.00485,3.78868e-05,3.78868e-05,3.78868e-05
3,2669.36,0.80105,4.48121,1.16306,0.28292,0.05778,0.02391,0.01828,0.75477,4.18887,1.04486,5.56892e-05,5.56892e-05,5.56892e-05
4,3499.16,0.8177,4.09068,1.18535,0.26824,0.09746,0.03867,0.02917,0.78106,3.92946,1.10766,5.45548e-05,5.45548e-05,5.45548e-05
5,4335.73,0.82108,3.79455,1.19421,0.29549,0.12516,0.05686,0.0412,0.78574,3.63375,1.11847,5.34064e-05,5.34064e-05,5.34064e-05
6,5170.33,0.81057,3.59801,1.19797,0.20305,0.15825,0.07654,0.05746,0.77126,3.415,1.11789,5.2258e-05,5.2258e-05,5.2258e-05
7,6001.81,0.79425,3.44623,1.18867,0.2108,0.18599,0.09217,0.07011,0.77674,3.32224,1.12806,5.11096e-05,5.11096e-05,5.11096e-05
8,6823.61,0.78423,3.33757,1.18589,0.21695,0.21501,0.11401,0.08811,0.77507,3.19257,1.13124,4.99612e-05,4.99612e-05,4.99612e-05
9,7663.14,0.77394,3.24186,1.17996,0.19966,0.22853,0.13087,0.10183,0.76978,3.06427,1.1425,4.88128e-05,4.88128e-05,4.88128e-05
10,8512.2,0.77063,3.17966,1.17843,0.20417,0.24034,0.14874,0.11494,0.7619,2.98027,1.13446,4.76644e-05,4.76644e-05,4.76644e-05
11,9337.44,0.76425,3.1237,1.17395,0.21885,0.26126,0.16271,0.12612,0.7555,2.93405,1.12907,4.6516e-05,4.6516e-05,4.6516e-05
12,10162.8,0.76185,3.06434,1.17321,0.2171,0.28327,0.16941,0.13151,0.74601,2.92425,1.11146,4.53676e-05,4.53676e-05,4.53676e-05
13,10999,0.75408,2.99886,1.16706,0.24306,0.29248,0.18674,0.1451,0.74218,2.83707,1.11608,4.42192e-05,4.42192e-05,4.42192e-05
